CellId,Count,Count_SC,Count_EC,freq(morning),freq(afternoon),freq(evening),freq(night),Cell_Center_Lat,Cell_Center_Lng
46b54d4a7,102,44,58,0.23529411764705882,0.37254901960784315,0.37254901960784315,0.0196078431372549,55.63916769986578,37.53948380930272
46b54b78d,21,7,14,0.5714285714285714,0.38095238095238093,0.047619047619047616,0.0,55.71362544246964,37.57199739914411
46b54b7f5,16,7,9,0.5625,0.3125,0.125,0.0,55.71333162659575,37.56827824974904
46b54cc33,15,6,9,0.4666666666666667,0.13333333333333333,0.4,0.0,55.67267788194617,37.559284839400405
46b54d4a5,13,6,7,0.5384615384615384,0.0,0.46153846153846156,0.0,55.638146908418435,37.537800302630785
46b54cfb9,11,5,6,0.0,0.7272727272727273,0.2727272727272727,0.0,55.67803631672381,37.52615788842328
46b54d4a1,9,2,7,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0,55.63989365617167,37.537456021558455
46b54d487,8,8,0,0.0,0.875,0.125,0.0,55.64177610637884,37.52766083253368
46b54d47f,7,5,2,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,55.643522903167046,37.527316047432606
46b54c673,7,2,5,0.7142857142857143,0.2857142857142857,0.0,0.0,55.6985792971911,37.5277605258788
46b54b0d7,7,1,6,0.0,0.42857142857142855,0.5714285714285714,0.0,55.7225301295446,37.60613676797652
414ab3a35,7,3,4,0.0,0.0,1.0,0.0,55.63818537027136,37.67349079403277
46b54c613,7,3,4,0.2857142857142857,0.7142857142857143,0.0,0.0,55.69887465404987,37.53147753669108
46b54d49b,6,5,1,0.5,0.5,0.0,0.0,55.64032453410334,37.531716827622034
46b54cc31,6,3,3,0.16666666666666666,0.5,0.3333333333333333,0.0,55.673698719969465,37.560970522488745
46b54b821,6,4,2,0.0,0.6666666666666666,0.3333333333333333,0.0,55.71508014271996,37.5679345104172
46b54d499,6,3,3,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,55.63959869450815,37.53374472164428
