std_accX_end,mean_accX_end,median_accX_end,max_angleX_diff
2.53795979,-0.067918174,0.195098877,87.47131525
3.415811475,0.641461521,-0.765999973,44.27447473
3.394776363,2.535984358,2.501940727,84.39308094
0.810470087,-2.098800015,-1.991999984,0.472254042
2.170047048,0.588028134,0.082008362,76.11055188
0.314211778,-0.093020069,-0.083618164,86.12669074
0.18848552,-0.035978195,-0.001617432,88.89322547
2.337436565,-0.548863345,-0.442927316,39.62205891
0.799480411,-1.097230782,-1.034000009,25.12024874
4.848468326,-3.236338727,-2.665461779,83.40086659
0.351697452,-2.252941202,-2.298000097,6.796692841
1.569331893,0.014907075,0.299755871,85.41081074
0.184129189,0.015570831,0.026893616,80.82505406
0.561413348,-1.400187493,-1.378999949,35.12588684
1.563933124,-1.105988092,-1.149000049,67.14403901
3.74153131,-1.125873336,-1.426944226,56.70915052
0.247652238,-0.02806957,0.008148193,89.54295654
2.537407234,0.585413019,0.082931519,79.78449052
3.183126179,-0.706519674,-1.126144409,83.60962115
0.195821032,-0.038962248,-0.023605347,89.83235782
0.26861643,0.065444492,0.059448242,89.01346945
0.280018817,0.1281364,0.074356079,87.57264343
0.179000124,-0.120638007,-0.154190063,88.53501851
0,9.060531616,9.060531616,0
2.073285447,-1.203145839,-1.646499991,49.94903213
0.254326439,0.102173964,0.001464844,88.8791727
0.55993982,-1.932606557,-2.068000078,17.62657257
0.254386218,-0.080485059,-0.098846436,87.92085506
0,-2.220999956,-2.220999956,0
0.286510913,-0.224920654,-0.083557129,8.002410819
0.071349111,0.10852755,0.117080688,12.49760683
0.136588803,0.033957741,-0.025970459,89.67505284
0.133733206,0.105631334,0.058441162,28.53099015
4.136478801,-0.935774142,-2.309278011,48.73894202
0.153732243,-0.006492103,-0.018692017,87.50553883
0.551855403,0.164475342,0.101913452,76.6567557
0.27609296,0.144445754,0.076950073,86.80906651
0.604799986,0.16746132,0.057495117,76.95884949
0,-0.021548472,-0.021548472,0
