Latitude,Longitude,Date
55.71373795,37.57235446,2018-09-04 09:10:15.777763
55.71382362,37.57228328,2018-09-04 10:43:42.603784
55.71378313,37.57231037,2018-09-04 10:45:10.843621
55.713827,37.57222765,2018-09-04 10:45:38.237240
55.71378053,37.57229721,2018-09-04 10:51:12.954113
55.71379356,37.57228013,2018-09-04 10:54:15.074469
55.71379729,37.57231222,2018-09-04 11:02:39.431527
55.71373185,37.57233126,2018-09-04 11:34:48.842017
55.71373185,37.57233126,2018-09-04 16:14:20.170708
55.71373185,37.57233126,2018-09-04 16:14:22.611638
55.71571217,37.56658506,2018-09-04 16:14:27.518051
55.71600509,37.57313238,2018-09-04 16:15:36.148483
55.71385522,37.57725079,2018-09-04 16:17:01.796291
55.71107336,37.58058444,2018-09-04 16:17:48.223068
55.70822665,37.57779011,2018-09-04 16:18:38.330245
55.7059603,37.58052598,2018-09-04 16:20:42.732473
55.7028947,37.57944752,2018-09-04 16:23:23.478082
55.69978391,37.57832878,2018-09-04 16:24:01.026779
55.69662427,37.57720712,2018-09-04 16:24:31.319479
55.69325179,37.57601554,2018-09-04 16:25:00.798939
55.69034282,37.57498518,2018-09-04 16:25:44.421903
55.68759619,37.57304919,2018-09-04 16:26:18.282119
55.68509552,37.57037893,2018-09-04 16:27:04.712697
55.68247492,37.56755071,2018-09-04 16:28:30.626106
55.67965447,37.56448814,2018-09-04 16:29:01.649347
55.67705784,37.56179024,2018-09-04 16:30:41.708045
55.67460254,37.5591355,2018-09-04 16:31:37.061286
55.6719447,37.55623267,2018-09-04 16:35:31.249824
55.67351265,37.55985176,2018-09-04 16:44:21.272975
55.67405592,37.55957717,2018-09-04 16:50:38.764511
55.67405592,37.55957717,2018-09-04 19:00:52.525646
55.67405592,37.55957717,2018-09-04 19:00:52.697594
55.67405592,37.55957717,2018-09-04 19:00:52.744405
55.67740501,37.56252393,2018-09-04 19:01:12.922212
55.67740501,37.56252393,2018-09-04 19:01:17.250535
55.67511775,37.55969806,2018-09-04 19:01:56.929577
55.6722804,37.55659954,2018-09-04 19:03:48.302250
55.66964126,37.55385788,2018-09-04 19:05:48.961989
55.66658858,37.55048766,2018-09-04 19:07:07.617111
55.66399609,37.54775583,2018-09-04 19:08:53.453881
55.66127137,37.54483639,2018-09-04 19:09:29.282155
55.65855551,37.54192572,2018-09-04 19:10:08.702329
55.65584011,37.53904124,2018-09-04 19:12:12.487473
55.65324173,37.53622231,2018-09-04 19:12:57.981336
55.6506882,37.53346426,2018-09-04 19:14:58.866010
55.64831602,37.53096419,2018-09-04 19:17:48.880709
55.64584823,37.52854124,2018-09-04 19:19:45.890008
55.64464568,37.52758173,2018-09-04 19:20:11.083728
55.64193116,37.52852858,2018-09-04 19:25:05.878482
55.64057723,37.53358604,2018-09-04 19:25:41.439779
55.63895866,37.53776349,2018-09-04 19:26:30.348293
55.63916068,37.53752271,2018-09-04 19:32:18.489765
55.63916068,37.53752271,2018-09-04 19:32:20.661722
55.63846519,37.53887496,2018-09-04 23:24:50.928238
55.63835097,37.541929,2018-09-04 23:25:00.084883
