0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng|5|latitude|6|longitude
AGT|AGT|SGES|SGES|Alejo Garcia|Alejo Garcia|Ciudad Del Este|Ciudad Del Este|Paraguay|Paraguay|-25.455500|-25.455500|-54.843592|-54.843592
AGU|AGU|MMAS|MMAS|Aguascalients|Aguascalients|Aguascalientes|Aguascalientes|Mexico|Mexico|21.705558|21.705558|-102.317858|-102.317858
AGV|AGV|SVAC|SVAC|Acarigua|Acarigua|Acarigua|Acarigua|Venezuela|Venezuela|9.553422|9.553422|-69.237536|-69.237536
AGW|AGW|||Agnew|Agnew|Agnew|Agnew|Australia|Australia|-12.145556|-12.145556|142.149167|142.149167
AGX|AGX|VOAT|VOAT|Agatti Island|Agatti Island|Agatti Island|Agatti Island|India|India|10.823656|10.823656|72.176042|72.176042
AGY|AGY|||Argyle Downs|Argyle Downs|Argyle Downs|Argyle Downs|Australia|Australia|-16.333|-16.333|128.767|128.767
AGZ|AGZ|FAAG|FAAG|Aggeneys|Aggeneys|Aggeneys|Aggeneys|South Africa|South Africa|-29.281767|-29.281767|18.813869|18.813869
AHA|AHA|RORG|RORG|Naha Air Force Base|Naha Air Force Base|Okinawa|Okinawa|Japan|Japan|26.2|26.2|127.65|127.65
AHB|AHB|OEAB|OEAB|Abha|Abha|Abha|Abha|Saudi Arabia|Saudi Arabia|18.240367|18.240367|42.656625|42.656625
AHC|AHC|KAHC|KAHC|Amedee AAF|Amedee AAF|Herlong|Herlong|Norway|Norway|40.265918|40.265918|-120.150613|-120.150613
AHD|AHD|KAHD|KAHD|Downtown|Downtown|Ardmore|Ardmore|United States|United States|34.146989|34.146989|-97.122652|-97.122652
AHE|AHE|NTHE|NTHE|Ahe Airport|Ahe Airport|Ahe|Ahe|French Polynesia|French Polynesia|-14.427778|-14.427778|-146.255000|-146.255000
AHF|AHF|||Municipal|Municipal|Arapahoe|Arapahoe|Guatemala|Guatemala|40.339451|40.339451|-99.906513|-99.906513
AHH|AHH|KAHH|KAHH|Municipal|Municipal|Amery|Amery|United States|United States|45.281148|45.281148|-92.375392|-92.375392
AHI|AHI|WAPA|WAPA|Amahai|Amahai|Amahai|Amahai|Indonesia|Indonesia|-3.348|-3.348|128.926|128.926
AHL|AHL|SYAH|SYAH|Aishalton|Aishalton|Aishalton|Aishalton|Guyana|Guyana|2.473604|2.473604|-59.321110|-59.321110
AHN|AHN|KAHN|KAHN|Athens|Athens|Athens|Athens|Greece|Greece|33.948595|33.948595|-83.326347|-83.326347
AHO|AHO|LIEA|LIEA|Fertilia|Fertilia|Alghero|Alghero|Italy|Italy|40.632133|40.632133|8.290772|8.290772
AHS|AHS|||Ahuas|Ahuas|Ahuas|Ahuas|Honduras|Honduras|15.472222|15.472222|-84.352222|-84.352222
AHT|AHT|PHKO|PHKO|Amchitka|Amchitka|Amchitka|Amchitka|United States|United States|51.5|51.5|179|179
AHU|AHU|GMTA|GMTA|Charif Al Idrissi|Charif Al Idrissi|Al Hoceima|Al Hoceima|Morocco|Morocco|35.177103|35.177103|-3.839525|-3.839525
AHY|AHY|||Ambatolahy|Ambatolahy|Ambatolahy|Ambatolahy|Madagascar|Madagascar|-20.000|-20.000|45.533|45.533
AHZ|AHZ|LFHU|LFHU|Alpe D Huez|Alpe D Huez|Alpe D Huez|Alpe D Huez|France|France|45.088333|45.088333|6.084722|6.084722
AIA|AIA|KAIA|KAIA|Alliance|Alliance|Alliance|Alliance|United States|United States|42.053222|42.053222|-102.803778|-102.803778
AIB|AIB|KGRK|KGRK|Anita Bay|Anita Bay|Anita Bay|Anita Bay|United States|United States|56.233333333333|56.233333333333|-132.38333333333|-132.38333333333
AIC|AIC|||Airok|Airok|Airok, Ailinglaplap|Airok, Ailinglaplap|Marshall Islands|Marshall Islands|7.100|7.100|171.233|171.233
AID|AID|KAID|KAID|Municipal|Municipal|Anderson|Anderson|United States|United States|40.108611|40.108611|-85.613000|-85.613000
AIE|AIE|||Aiome|Aiome|Aiome|Aiome|Papua New Guinea|Papua New Guinea|-5.133|-5.133|144.717|144.717
AIF|AIF|SBAS|SBAS|Assis|Assis|Assis|Assis|Brazil|Brazil|-22.638564|-22.638564|-50.455914|-50.455914
